k,alpha,min_multiplier,s1_weight,disparity_threshold,similarity_threshold,cluster_size_threshold,accuracy,mae,rmse,flag_rate,n_correct,n_flagged,n_total
3,0.1,0.3,0.7,4.0,0.7,20,68.0,1.195,1.6,44.0,17,11,25
3,0.1,0.4,0.4,2.0,0.4,10,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,2.0,0.4,15,72.0,1.086,1.394,28.0,18,7,25
3,0.1,0.4,0.4,2.0,0.4,20,72.0,1.086,1.394,28.0,18,7,25
3,0.1,0.4,0.4,2.0,0.5,10,72.0,1.086,1.394,16.0,18,4,25
3,0.1,0.4,0.4,2.0,0.5,15,72.0,1.086,1.394,36.0,18,9,25
3,0.1,0.4,0.4,2.0,0.5,20,72.0,1.086,1.394,40.0,18,10,25
3,0.1,0.4,0.4,2.0,0.6,10,72.0,1.086,1.394,40.0,18,10,25
3,0.1,0.4,0.4,2.0,0.6,15,72.0,1.086,1.394,48.0,18,12,25
3,0.1,0.4,0.4,2.0,0.6,20,72.0,1.086,1.394,52.0,18,13,25
3,0.1,0.4,0.4,2.0,0.7,10,72.0,1.086,1.394,56.0,18,14,25
3,0.1,0.4,0.4,2.0,0.7,15,72.0,1.086,1.394,56.0,18,14,25
3,0.1,0.4,0.4,2.0,0.7,20,72.0,1.086,1.394,60.0,18,15,25
3,0.1,0.4,0.4,2.5,0.4,10,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,2.5,0.4,15,72.0,1.086,1.394,20.0,18,5,25
3,0.1,0.4,0.4,2.5,0.4,20,72.0,1.086,1.394,20.0,18,5,25
3,0.1,0.4,0.4,2.5,0.5,10,72.0,1.086,1.394,12.0,18,3,25
3,0.1,0.4,0.4,2.5,0.5,15,72.0,1.086,1.394,32.0,18,8,25
3,0.1,0.4,0.4,2.5,0.5,20,72.0,1.086,1.394,36.0,18,9,25
3,0.1,0.4,0.4,2.5,0.6,10,72.0,1.086,1.394,32.0,18,8,25
3,0.1,0.4,0.4,2.5,0.6,15,72.0,1.086,1.394,48.0,18,12,25
3,0.1,0.4,0.4,2.5,0.6,20,72.0,1.086,1.394,52.0,18,13,25
3,0.1,0.4,0.4,2.5,0.7,10,72.0,1.086,1.394,48.0,18,12,25
3,0.1,0.4,0.4,2.5,0.7,15,72.0,1.086,1.394,56.0,18,14,25
3,0.1,0.4,0.4,2.5,0.7,20,72.0,1.086,1.394,60.0,18,15,25
3,0.1,0.4,0.4,3.0,0.4,10,72.0,1.086,1.394,0.0,18,0,25
3,0.1,0.4,0.4,3.0,0.4,15,72.0,1.086,1.394,8.0,18,2,25
3,0.1,0.4,0.4,3.0,0.4,20,72.0,1.086,1.394,8.0,18,2,25
3,0.1,0.4,0.4,3.0,0.5,10,72.0,1.086,1.394,8.0,18,2,25
3,0.1,0.4,0.4,3.0,0.5,15,72.0,1.086,1.394,20.0,18,5,25
3,0.1,0.4,0.4,3.0,0.5,20,72.0,1.086,1.394,24.0,18,6,25
3,0.1,0.4,0.4,3.0,0.6,10,72.0,1.086,1.394,24.0,18,6,25
3,0.1,0.4,0.4,3.0,0.6,15,72.0,1.086,1.394,40.0,18,10,25
3,0.1,0.4,0.4,3.0,0.6,20,72.0,1.086,1.394,44.0,18,11,25
3,0.1,0.4,0.4,3.0,0.7,10,72.0,1.086,1.394,32.0,18,8,25
3,0.1,0.4,0.4,3.0,0.7,15,72.0,1.086,1.394,48.0,18,12,25
3,0.1,0.4,0.4,3.0,0.7,20,72.0,1.086,1.394,52.0,18,13,25
3,0.1,0.4,0.4,3.5,0.4,10,72.0,1.086,1.394,0.0,18,0,25
3,0.1,0.4,0.4,3.5,0.4,15,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,3.5,0.4,20,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,3.5,0.5,10,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,3.5,0.5,15,72.0,1.086,1.394,12.0,18,3,25
3,0.1,0.4,0.4,3.5,0.5,20,72.0,1.086,1.394,16.0,18,4,25
3,0.1,0.4,0.4,3.5,0.6,10,72.0,1.086,1.394,16.0,18,4,25
3,0.1,0.4,0.4,3.5,0.6,15,72.0,1.086,1.394,36.0,18,9,25
3,0.1,0.4,0.4,3.5,0.6,20,72.0,1.086,1.394,40.0,18,10,25
3,0.1,0.4,0.4,3.5,0.7,10,72.0,1.086,1.394,20.0,18,5,25
3,0.1,0.4,0.4,3.5,0.7,15,72.0,1.086,1.394,40.0,18,10,25
3,0.1,0.4,0.4,3.5,0.7,20,72.0,1.086,1.394,44.0,18,11,25
3,0.1,0.4,0.4,4.0,0.4,10,72.0,1.086,1.394,0.0,18,0,25
3,0.1,0.4,0.4,4.0,0.4,15,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,4.0,0.4,20,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,4.0,0.5,10,72.0,1.086,1.394,4.0,18,1,25
3,0.1,0.4,0.4,4.0,0.5,15,72.0,1.086,1.394,12.0,18,3,25
3,0.1,0.4,0.4,4.0,0.5,20,72.0,1.086,1.394,16.0,18,4,25
3,0.1,0.4,0.4,4.0,0.6,10,72.0,1.086,1.394,16.0,18,4,25
